sample,fastq_1,fastq_2,sra_accession,study_accession
SRR36834967,,,SRR36834967,SRP662258
SRR36835030,,,SRR36835030,SRP662258
SRR36835100,,,SRR36835100,SRP662258
SRR36835101,,,SRR36835101,SRP662258
SRR36835128,,,SRR36835128,SRP662258
SRR36835132,,,SRR36835132,SRP662258
SRR36835334,,,SRR36835334,SRP662258
SRR36835376,,,SRR36835376,SRP662258
SRR36835403,,,SRR36835403,SRP662258
SRR36835462,,,SRR36835462,SRP662258
SRR36835560,,,SRR36835560,SRP662258
SRR36835567,,,SRR36835567,SRP662258
SRR36835686,,,SRR36835686,SRP662258
SRR36835780,,,SRR36835780,SRP662258
SRR36835811,,,SRR36835811,SRP662258
SRR36835853,,,SRR36835853,SRP662258
SRR8133838,/home/ec2-user/github/nf-reads-profiler/assets/test_data/SRX4954909_SRR8133838_1.fastq.gz,/home/ec2-user/github/nf-reads-profiler/assets/test_data/SRX4954909_SRR8133838_2.fastq.gz,,SRP662258
SRR8133837,/home/ec2-user/github/nf-reads-profiler/assets/test_data/SRX4954910_SRR8133837_1.fastq.gz,/home/ec2-user/github/nf-reads-profiler/assets/test_data/SRX4954910_SRR8133837_2.fastq.gz,,SRP662258
